問題ID,問題,答え,読み,復習フラグ
9057,日本家屋の押入れの上に設けられる収納スペースのことを一般に何というでしょう？,天袋,てんぶくろ,0
9058,日本語での正式名称を「国際標準化機構」という国際的な規格統一の推進機関を、アルファベット3文字の略称で一般に何というでしょう？,ISO,ISO,0
9059,日本語での物の数え方で、三味線、羊羹、タンスを数える時に共通して使われる助数詞は何でしょう？,棹,さお,0
9060,日本語では「化学的酸素要求量」などといい、主に水質汚染の程度を調べる指標として用いられる、水中の被酸化性物質を酸化剤で酸化する際に必要になる酸素の量のことをアルファベット3文字で何というでしょう？,COD,COD,0
9061,日本語では「過剰多頭飼育者」などと呼ばれる、繁殖などにより手に負えないほど多数のペットを抱えてしまう人のことを英語由来の言葉で何と呼ぶでしょう？,アニマルホーダー,アニマルホーダー,0
9062,日本語では「丸豆」とも呼ばれる、コーヒー豆の中でも特に果実の中に1つの種子のみが入った丸い形の豆のことを、「フラットビーン」に対して何というでしょう？,ピーベリー,ピーベリー,0
9063,日本語では「希少疾病用医薬品」という、難病などの治療に必要性が高いものの、患者数が少ないために製薬会社では採算が取れない医薬品のことを英語で何ドラッグというでしょう？,オーファン・ドラッグ,オーファン,0
9064,日本語では「軌間可変電車」という、在来線と新幹線など異なる軌間の線路でも車輪の左右間隔の変動により直通運行できる車両を、和製英語で何トレインというでしょう？,フリーゲージトレイン,フリーゲージ,0
9065,日本語では「三重水素」ともいう、中性子を2つ持つ水素の同位体を英語で何というでしょう？,トリチウム,トリチウム,0
9066,日本語では「腎単位」という、腎臓の腎小体とそれに続く尿細管1組からなり、ヒトの場合200万個ほどが存在する部位のことをドイツ語で何というでしょう？,ネフロン,ネフロン,0
9067,日本語では「整調」とも呼ばれ、クル一全体の漕ぎのリズムを司る役割を持つことが多い、ボート競技の漕手のうち最も船尾側のポジションのことを英語で何というでしょう？,ストローク,ストローク,0
9068,日本語では「舵手」と呼ばれ、一般にはクルー全体に指示を出す役割も持つ、ボート競技において舵をとるポジションのことを英語で何というでしょう？,コックス,コックス,0
9069,日本語では「炭素繊維強化プラスチック」という、航空機の機体や建築物、スポーツ用具など広範囲に使われる強化プラスチックの一種をアルファベット4文字の略称で何というでしょう？,CFRP,CFRP,0
9070,日本語では「長堂式」ともいう、キリスト教の教会堂などに見られる、中央の廊と列柱で隔てられた左右の廊からなる建築様式を「何式」というでしょう？,バシリカ式,バシリカ,0
9071,日本語では「通貨供給量」とも呼ばれる、中央政府や金融機関を除いた個人や法人が保有する通貨の総量を指す英語は何でしょう？,マネーサプライ,マネーサプライ,0
9072,日本語では「柘榴石」と呼ばれる、1月の誕生石とされる宝石を英語で何というでしょう？,ガーネット,ガーネット,0
9073,日本語では「半数致死量」という、毒性学で、投与した動物の半数が死に至る物質の用量をアルファベットと数字を使って何というでしょう？,LD50,LD50,0
9074,日本語では「命名権」と訳される、「味の素スタジアム」や「京セラドーム大阪」のように、スポンサー企業が施設やイベントなどの名前を自社の名前を入れたものなどに変えられる権利のことを英語で何というでしょう？,ネーミングライツ,ネーミングライツ,0
9075,日本語では「黙字」と呼ばれる、「know」のkなど、単語の綴りに含まれているのに発音しないアルファベットを英語で何というでしょう？,サイレントレター,サイレントレター,0
9076,日本語では「暈」という、太陽や月に薄い雲がかかった際にその周囲に光の輪が現れる大気光学現象は何でしょう？,ハロ現象,ハロ,0
9077,日本語では『精神障害の診断・統計マニュアル』などと訳される、アメリカ精神医学会が精神疾患の分類・診断基準などをまとめた手引書のことをアルファベット3文字の略称で何というでしょう？,DSM,DSM,0
9078,日本語では『悲しみの聖母』や『聖母哀傷』とも呼ばれ、ペルゴレージやロッシーニらが曲を付けている、ヤーコポーネ・ダ・トーディ作とされるカトリック教会の聖歌を、その冒頭の歌詞から何と呼ぶでしょう？,『スターバト・マーテル』,スターバトマーテル,0
9079,日本国憲法で、「法の下の平等」について定められ、貴族制度などが否定されているのは第何条でしょう？,第14条,14,0
9080,日本国憲法において、国会を召集するのは誰と規定されているでしょう？,天皇,てんのう,0
9081,日本国憲法公布時の日本の内閣総理大臣は誰でしょう？,吉田茂,よしだしげる,0
9082,日本初の営業用の水力発電が行われ、蹴上インクラインなどの遺構が現在も残っている、明治時代に建設された滋賀県大津市と京都府京都市を結ぶ人工水路を何というでしょう？,琵琶湖疏水,びわこそすい,0
9083,日本初の少女向けアニメ作品とされ、「マハリクマハリタ ヤンバラヤンヤンヤン」という歌い出しのテーマ曲でも知られる、1966年放送開始のテレビアニメは何でしょう？,『魔法使いサリー』,まほうつかいサリー,0
9084,日本神話で、ヤマタノオロチの人身御供となる寸前にスサノオノミコトに助けられ、彼の妃となった女神の名前は何でしょう？,クシナダヒメ,クシナダヒメ,0
9085,日本人として初めてジーンズを履いた人物ともいわれる、サンフランシスコ講和条約会議に全権団顧問として参加するなど吉田茂の側近としても活躍した実業家は誰でしょう？,白洲次郎,しらすじろう,0
9086,日本地震工学振興会や日本建築学会の会長を歴任し、名古屋テレビ塔や東京タワーなど鉄塔の設計を多く手がけたことから「塔博士」とも呼ばれている、日本の建築家は誰でしょう？,内藤多仲,ないとうたちゅう,0
9087,日本中央競馬会が運営する「美浦トレーニングセンター」はどこの都道府県にあるでしょう？,茨城県,いばらき,0
9088,日本美術の意匠や造形を取り入れ、『鯉魚文花瓶』など様々な生物をモチーフとした独特のガラス工芸作品を生み出した、アール・ヌーヴォーを代表するフランスの工芸家は誰でしょう？,エミール・ガレ,ガレ,0
9089,日本郵便における局留め郵便物の保管期間は、郵便局到着日の翌日から起算して原則何日間と定められているでしょう？,10日間,10,0
9090,忍者の里として知られる市で、甲賀市は滋賀県にありますが、伊賀市はどの都道府県にあるでしょう？,三重県,みえ,0
9091,年代物の赤ワインに多く見られる、ポリフェノールやタンニンなどの成分が結晶化し、沈殿物となったものを日本語で何というでしょう？,澱,おり,0
9092,能で、主役を務める人のことを「シテ」といいますが、脇役を務める人のことを何というでしょう？,ワキ,ワキ,0
9093,能力の低い人物ほど自己評価を実際よりも高くしてしまうという認知バイアスを、1999年に優越の錯覚に関する論文を記した2人のアメリカの心理学者の名前をとって何効果というでしょう？,ダニング＝クルーガー効果,ダニングクルーガー,0
9094,脳死状態の患者が自発的に手足を動かすなどの動作を行うことを、『新約聖書』の中でイエス・キリストが蘇生させたという人物の名をとって何というでしょう？,ラザロ徴候,ラザロちょうこう,0
9095,俳人の松尾芭蕉が詠んだ句で、「身にしみて大根からし」「石山の石より白し」「物いへば唇寒し」に共通する下の句は何でしょう？,秋の風,あきのかぜ,0
9096,俳優としても活躍している、代表作に『グリーン・インフェルノ』や『ホステル』がある、新世代のホラー映画監督は誰でしょう？,イーライ・ロス,イーライロス,0
9097,廃止されるまでは鉄道駅として世界で最も低い位置にあった、青函トンネルの北海道側にかつて存在していた駅は何駅でしょう？,吉岡海底駅,よしおかかいてい,0
9098,楳図かずおの漫画『まことちゃん』の主人公・まことの名字は何でしょう？,沢田,さわだ,0
9099,売れ行きが良くない商品のことを、「売れ筋」に対して何というでしょう？,死に筋,しにすじ,0
9100,白金と横浜の2つのキャンパスを持つ、1863年にヘボン夫妻が開いたヘボン塾を起源とするキリスト教系の私立大学は何大学でしょう？,明治学院大学,めいじがくいん,0
9101,函館山・稲佐山とともに「日本三大夜景」の望める場所の1つに数えられ、展望台「掬星台」から神戸の夜景を一望できることで知られる山は何山でしょう？,摩耶山,まや,0
9102,函館山、摩耶山とともに「日本三大夜景」の望める場所の1つに数えられる、長崎市にある標高333mの山は何山でしょう？,稲佐山,いなさ,0
9103,発泡性のワインをスパークリングワインというのに対し、非発泡性のワインを何ワインというでしょう？,スティルワイン,スティル,0
9104,発明者とされるポルトガルの数学者ペドロ・ヌネシュのラテン語名が訛ったのがその名の由来とされ、物の外径や内径を測る時などに用いられる、2つの定規が組み合わさったような構造の測定器具は何でしょう？,ノギス,ノギス,0
9105,半導体メーカーの工場が沿道に広がる東北自動車道の周辺地域のことを、アメリカの「シリコンバレー」になぞらえて何というでしょう？,シリコンロード,シリコンロード,0
9106,"標高2,850mに位置し、「永遠の春」と称されるほど年間を通じて穏やかな気候で知られる、エクアドル共和国の首都はどこでしょう？",キト,キト,0
9107,表彰式でよく流れる『見よ、勇者は帰る』は誰が作曲したオラトリオの一部でしょう？,ゲオルク・フリードリヒ・ヘンデル,ヘンデル,0
9108,評論家の赤塚行雄が命名したとされる、グリコ・森永事件や三億円事件などの、あたかも演劇であるかのような犯罪のことを何犯罪というでしょう？,劇場型犯罪,げきじょうがた,0
9109,不規則な地球の自転によって決められる時刻と、一定の時を刻む原子時系の時刻とのずれを調整するために原子時に挿入または引き抜かれる1秒のことを何というでしょう？,うるう秒,うるうびょう,0
9110,夫に作曲家のロディオン・シチェドリンを持ち、ボリショイ劇場のプリマとして活躍した、「20世紀最高のバレリーナ」と呼ばれたロシアのダンサーは誰でしょう？,マイヤ・プリセツカヤ,プリセツカヤ,0
9111,夫は俳優の水谷豊で、かつては田中好子・藤村美樹とともにアイドルグループ「キャンディーズ」として活動していた女優は誰でしょう？,伊藤蘭,いとうらん,0
9112,父は渋谷駅前の初代忠犬ハチ公像を制作した照である、現存する2代目忠犬ハチ公像を制作した日本の彫刻家は誰でしょう？,安藤士,あんどうたけし,0
9113,福岡県の久留米市美術館では2年に1度この人物の名を冠した展覧会が開催されている、代表作に『海の幸』『わだつみのいろこの宮』などがある明治時代の洋画家は誰でしょう？,青木繁,あおきしげる,0
9114,仏教などの僧が鉢を持って立ち、経文を唱えて金銭や食べ物を乞う修行を、「鉢」という漢字を使って何というでしょう？,托鉢,たくはつ,0
9115,仏教の開祖であるブッダが入滅した時にその周囲に生えていたとされる木々を指す、『平家物語』の一節にも登場する漢字4文字の呼び名は何でしょう？,沙羅双樹,さらそうじゅ,0
9116,物事の始めを意味する慣用句にもなっている、大相撲の番付で1番下の位を指す言葉は何でしょう？,序ノ口,じょのくち,0
9117,物事の指標を意味する「バロメーター」とは本来何をはかる器具のことでしょう？,気圧,きあつ,0
9118,分子が分母より小さい、「5分の2」や「10分の4」のような分数のことを特に何分数というでしょう？,真分数,しん,0
9119,平安時代後期に源義家が、のちの藤原清衡とともに出羽の豪族・清原氏を滅ぼし、東国における源氏の勢力確立や奥州藤原氏の始まりにつながったとされる戦を「何の役」というでしょう？,後三年の役,ごさんねん,0
9120,平安時代中期、伊予の日振島を根拠地として瀬戸内海一帯の海賊を率いて襲撃や略奪を行い、941年に朝廷の軍勢に殺されたとされる貴族出身の人物は誰でしょう？,藤原純友,ふじわらのすみとも,0
9121,平方根の語呂合わせで、「富士山麓鸚鵡鳴く」といえばルートいくつの覚え方でしょう？,ルート5,5,0
9122,米使節マシュー・ペリーが初めて日本の浦賀に来航したのは西暦何年のことでしょう？,1853年,1853,0
9123,別名「終戦反対事件」などとも呼ばれる、1945年8月14日から15日にかけ、日本の無条件降伏に反対する陸軍将校が現在の皇居で起こしたクーデター未遂事件を、当時の皇居の呼び名から何事件というでしょう？,宮城事件,きゅうじょう,0
9124,別名を「在五中将日記」という、在原業平が主人公のモデルとされる平安時代の歌物語は何でしょう？,『伊勢物語』,いせものがたり,0
9125,別名を「福毛」という、体の一部に一本だけ長く生えた白や透明の毛を何というでしょう？,宝毛,たからげ,0
9126,法名を「祐雅」といい、初めは「雅氏」「雅清」と名乗っていた、二十一代集と呼ばれる勅撰和歌集のうち最後のものである『新続古今和歌集』の撰者となった室町時代の歌人は誰でしょう？,飛鳥井雅世,あすかいまさよ,0
9127,法律用語で、犯罪の発生を意図しているわけではないが、自分の行為によって犯罪が発生する可能性を認識し、その上で実行するという心理のことを「何の故意」というでしょう？,未必の故意,みひつ,0
9128,北アメリカ大陸の五大湖のうち、最も面積が大きいのは何湖でしょう？,スペリオル湖,スペリオル,0
9129,本名をアルフォンソ・キハーノといい、愛馬ロシナンテと従者サンチョ・パンサを連れて冒険の旅に出る、スペインの作家セルバンテスの代表作である小説の主人公は誰でしょう？,ドン・キホーテ,ドンキホーテ,0
9130,本名をジョセフ・ルイス・バローといい、「褐色の爆撃機」の異名でも知られた、ボクシング世界王座25回連続防衛の記録を持つアメリカの伝説的ボクサーを一般的な呼び名で何と呼ぶでしょう？,ジョー・ルイス,ジョールイス,0
9131,本名をチアゴ・フルカワ・ルーカスという、代表作にライトノベル作品の『いつか天魔の黒ウサギ』『ノーゲーム・ノーライフ』などがある、ブラジル出身の小説家・漫画家・イラストレーターは誰でしょう？,榎宮祐,かみやゆう,0
9132,本名をドメニコス・テオトコプーロスという、代表作に『オルガス伯の埋葬』『受胎告知』があるギリシャのクレタ島出身の画家は誰でしょう？,エル・グレコ,エルグレコ,0
9133,本名を犬塚進という、1979年の日本シリーズ第7戦の攻防を取り上げたノンフィクション『江夏の21球』で知られる作家は誰でしょう？,山際淳司,やまぎわじゅんじ,0
9134,本名を清一郎という、「萬緑の中や吾子の歯生え初むる」「降る雪や明治は遠くなりにけり」などの句で知られる俳人は誰でしょう？,中村草田男,なかむらくさたお,0
9135,本名を清水三十六といい、直木賞を授賞決定後に辞退した唯一の人物である、代表作に『季節のない街』『樅ノ木は残った』などがある小説家は誰でしょう？,山本周五郎,やまもとしゅうごろう,0
9136,本名を中島哲という、『だむのおじさんたち』『どろぼうがっこう』『だるまちゃんとてんぐちゃん』などの作品で知られる、福井県出身の絵本作家は誰でしょう？,かこさとし,かこさとし,0
9137,本名を椎名巌という、テレビ番組『笑点』の永世名誉司会の肩書きを持つ落語家は誰でしょう？,桂歌丸,かつらうたまる,0
9138,本名を嶋沢弘隆という、『サザエさん』の磯野波平役や『名探偵コナン』の目暮警部役で知られる大沢事務所所属の声優は誰でしょう？,茶風林,ちゃふうりん,0
9139,本名を南郷庸子という、1945年に主演した映画『そよかぜ』の挿入歌となりヒットした『リンゴの唄』で知られる歌手は誰でしょう？,並木路子,なみきみちこ,0
9140,本名を米山峰夫という、代表作に『魔獣狩り 淫楽編』を第1作とする「サイコダイバー・シリーズ」や、映画化もされた『神々の山嶺』『陰陽師』などがある小説家は誰でしょう？,夢枕獏,ゆめまくらばく,0
9141,本名を片根紀子といい、ペンネームは出身地の尼崎市にちなむものである、代表作にアニメ『忍たま乱太郎』の原作である『落第忍者乱太郎』がある漫画家は誰でしょう？,尼子騒兵衛,あまこそうべえ,0
9142,本名を林田民子といい、「チータ」の愛称で知られる、主なヒット曲に『いっぽんどっこの唄』『三百六十五歩のマーチ』などがある歌手は誰でしょう？,水前寺清子,すいぜんじきよこ,0
9143,本来はスコットランドなどで未婚女性が付けていたヘアバンドを指す言葉で、厚手の布や毛皮を筒状にした、首に巻く防寒具を何というでしょう？,スヌード,スヌード,0
9144,毎年11月3日に皇居で親授式が行なわれる、科学や芸術などの分野に功績のあった人物に授けられる日本の勲章は何でしょう？,文化勲章,ぶんかくんしょう,0
9145,毎年夏に中庭でシェイクスピアの悲劇『ハムレット』の上演会が行われる、『ハムレット』の物語の舞台「エルシノア城」のモデルといわれるデンマーク・シェラン島の城は何でしょう？,クロンボー城,クロンボー,0
9146,漫画『ドラえもん』には女優として登場する、漫画『パーマン』でパーマン3号に変身する女の子の名前は何でしょう？,星野スミレ,ほしのスミレ,0
9147,漫画『北斗の拳』の北斗神拳がこれにあたる、学問や技芸などの奥義を自分の子供の中の1人だけに伝授し、他の者には秘密にすることを四字熟語で何というでしょう？,一子相伝,いっしそうでん,0
9148,漫画雑誌『週刊少年チャンピオン』を発行している出版社はどこでしょう？,秋田書店,あきたしょてん,0
9149,密閉容器内で静止している流体が、ある1点に圧力を受けると、流体内の全ての点に同じ大きさの圧力が加わるという原理を、これを発見したフランスの学者の名をとって何の原理というでしょう？,パスカルの原理,パスカル,0
9150,民謡『伊勢音頭』で、「伊勢は津でもつ、津は伊勢でもつ」のあと、尾張名古屋は「何でもつ」と歌われるでしょう？,城でもつ,しろ,0
9151,娘に織田信長の正室・濃姫などがいる、「美濃のマムシ」と呼ばれた戦国武将は誰でしょう？,斎藤道三,さいとうどうさん,0
9152,娘の岡上鈴江も同じく作家である、『赤い蝋燭と人魚』などの童話を残し「日本のアンデルセン」と呼ばれた小説家は誰でしょう？,小川未明,おがわみめい,0
9153,明治期の日本で風刺雑誌『トバエ』を創刊し、帝国主義諸国を風刺した『魚釣り遊び』など教科書でもおなじみの風刺画を多数描いたことで知られるフランスの漫画家は誰でしょう？,ジョルジュ・ビゴー,ビゴー,0
9154,免疫学者の多田富雄がアインシュタインの相対性理論を題材として作り、2003年に横浜能楽堂で初演された能の演目は何でしょう？,『一石仙人』,いっせきせんにん,0
9155,孟子の説く四端の1つで、他人の不幸を見ていたたまれなく思う心のことを何というでしょう？,惻隠,そくいん,0
9156,野球における投手の下手投げのことを、ある乗り物を指す英語を使って何投法というでしょう？,サブマリン投法,サブマリン,0
9157,野球のアメリカ・メジャーリーグで、ワールドシリーズに1度も進出したことがない唯一の球団はどこでしょう？,シアトル・マリナーズ,シアトルマリナーズ,0
9158,野球の男子日本代表が「侍ジャパン」の愛称を使い始める前に、2008年3月から「さむらいジャパン」を愛称としていたのは何の競技の男子日本代表チームでしょう？,ホッケー,ホッケー,0
9159,野球の投球判定の1つ「ボール」とは、何という英語を略した言葉でしょう？,アンフェア・ボール,アンフェアボール,0
9160,野球の変化球で、英語で「指の関節」という意味の名前が付いているのは「何ボール」でしょう？,ナックルボール,ナックル,0
9161,野球用語の「防御率」「自責点」などの言葉を考案した日本の野球公式記録員で、1985年に野球殿堂入りを果たした人物は誰でしょう？,山内以九士,やまのうちいくじ,0
9162,薬学のシンボルとして用いられることが多い、蛇が杯に巻き付いたデザインのマークを、ギリシャ神話に登場する名医アスクレピオスの娘の名前を使って「何の杯」というでしょう？,ヒュギエイアの杯,ヒュギエイア,0
9163,薬師丸ひろ子主演の映画『翔んだカップル』や『セーラー服と機関銃』の監督を務めた、日本の映画監督は誰でしょう？,相米慎二,そうまいしんじ,0
9164,有限数列において、最初の項を「初項」というのに対し、最後の項を何というでしょう？,末項,まっこう,0
9165,有明海でムツゴロウなどの漁に利用される、幅30cm程度、長さ2m程度の板を、雪上を滑るある道具にたとえた俗称で何というでしょう？,潟スキー,がたスキー,0
9166,誘拐・監禁事件などの犯人が人質と長時間過ごすうちに、人質に対して親近感を抱くようになる現象を、1996年から1997年にかけて日本大使公邸の占拠事件が起きた都市の名前から何症候群というでしょう？,リマ症候群,リマ,0
9167,雷の鳴る時期に獲れることから漢字で「鱩」と表記されることもある、秋田名物の調味料・しょっつるの原料などに使われる魚は何でしょう？,ハタハタ,ハタハタ,0
9168,理科の実験に用いるBTB溶液は、中性の水溶液中では何色を示すでしょう？,緑色,みどり,0
9169,理想気体においては「PV = nRT」で表される、気体の圧力、体積、温度を関連付ける数式を気体の何方程式というでしょう？,状態方程式,じょうたい,0
9170,理容師の小田原俊幸が命名者である、ヘアワックスやポマードなどの整髪料を利用し、両側頭部から髪を撫で付け後頭部でIの字型にぴったりと合わせる髪型の日本における呼び名は何でしょう？,リーゼント,リーゼント,0
9171,裏面には山梨県の雁ヶ腹摺山から見た富士山、表面には岩倉具視の肖像画が描かれている、同額の硬貨の普及に伴って1994年に市中銀行への支払いが停止された紙幣は何円紙幣でしょう？,五百円紙幣,ごひゃく,0
9172,略して「VC」とも呼ばれる、ベンチャービジネスに対する投資や貸し付けを主な業務とする企業を英語で何というでしょう？,ベンチャーキャピタル,ベンチャーキャピタル,0
9173,略して「ラ音」と呼ばれることもある、肺や気管支などに疾患がある時に、呼吸に伴って聴診器に聞こえる雑音のことを何音というでしょう？,ラッセル音,ラッセル,0
9174,旅客機ボーイングB787などのエンジンナセルに採用されている、騒音軽減効果があるとされるギザギザのデザインを何というでしょう？,シェブロン,シェブロン,0
9175,力学の上で仮想される、質量だけを持ち大きさを持たない物体のことを日本語で何というでしょう？,質点,しつてん,0
9176,緑豆やジャガイモのデンプンを原料にして作られる麺のような食品のことを、日本ではその見た目が連想させるものにちなんだ名前で何というでしょう？,春雨,はるさめ,0
9177,冷戦時代に北大西洋条約機構に対抗する形で設立され、1991年のソビエト連邦崩壊直前に解体された、ソ連など東欧諸国による安全保障機構を、創設を定めた条約の締結地の都市名をとって何条約機構というでしょう？,ワルシャワ条約機構,ワルシャワ,0
9178,霊長類では唯一反芻行動をする、オスの成獣が持つ長い鼻が特徴的な動物は何でしょう？,テングザル,テングザル,0
9179,歴代アメリカ大統領で「ルーズベルト」の姓を持つ2人とは、フランクリン・ルーズベルトとあと1人は誰でしょう？,セオドア・ルーズベルト,セオドア,0
9180,労働統計などで用いられる用語で、働く意志や能力があるにもかかわらず、1週間の調査期間の間収入の伴う仕事に就いていない人のことを、漢字5文字で何というでしょう？,完全失業者,かんぜんしつぎょうしゃ,0
9181,和歌や俳句の題材を求めて名所や旧跡などに出かけることを、一般に何というでしょう？,吟行,ぎんこう,0
9182,「18金」と表記された合金に含まれている金の割合は何%でしょう？,75%,75,0
9183,「The quick brown fox jumps over the lazy dog」などのような、26個のアルファベットをすべて用いて作った文章のことを何というでしょう？,パングラム,パングラム,0
9184,「ウォーターワールド」「ジュラシック・パータ」「ウィザーディング・ワールド・オブ・ハリー・ポッター」などのエリアがある、略称を「USJ」という大阪市のテーマパークは何でしょう？,ユニバーサル・スタジオ・ジャパン,ユニバーサルスタジオジャパン,0
9185,「サボテンピラフ」「イカスミかき氷」「甘口抹茶小倉スパ」といった変わったメニューを提供し、数々のテレビ番組や村上春樹の著書などで取り上げられている、愛知県名古屋市にある喫茶店の名前は何でしょう？,マウンテン,マウンテン,0
9186,「タウングー朝」「コンバウン朝」「パガン朝」の王朝がかつて存在していた国はどこでしょう？,ミャンマー,ミャンマー,0
9187,「ばしゃ」は馬が牽く乗り物ですが、「ぎっしゃ」は何という動物が牽く乗りでしょう？,牛,うし,0
9188,「ヒトの手」と「クジラの胸ビレ」の関係などがこれにあたる、形や役割は異なるものの、起源を辿れば共通の祖先の同じ器官だったと考えられる器官同士の関係性を、漢字2字の生物学用語で何というでしょう？,相同,そうどう,0
9189,「株価収益率」とも呼ばれる、株価を1株あたりの当期純利益で割って算出される株価の割安性を示す指標を、アルファベット3文字で何というでしょう？,PER,PER,0
9190,「幾何数列」ともいう、隣り合う数字の比が一定である数列を何数列というでしょう？,等比数列,とうひ,0
9191,「形天」「開明獣」「九尾狐」など伝説上の神々や妖怪が記されていることから「奇書」としても扱われている、中国で紀元前4世紀から3世紀にかけて成立したとされる最古の地理書は何でしょう？,『山海経』,せんがいきょう,0
9192,「月とすっぽん」と同じ意味のことわざで、「提灯に」に続く言葉は何でしょう？,提灯に釣鐘,つりがね,0
9193,「国が焦土と化しても国策を遂行する」という外交姿勢が「焦土外交」などと呼ばれたことでも知られる、日本で唯一明治・大正・昭和の3つの期間で外務大臣を務めた経験を持つ政治家は誰でしょう？,内田康哉,うちだこうさい,0
9194,「国境の長いトンネルを抜けると」で始まる冒頭の一文が有名な、越後湯沢をモデルとする温泉地を舞台とした川端康成の小説は何でしょう？,『雪国』,ゆきぐに,0
9195,「国宝・彦根城築城400年祭」のイメージキャラクターとして2006年に誕生し、その後の「ゆるキャラ」ブームの火付け役となった猫のキャラクターといえば何でしょう？,ひこにゃん,ひこにゃん,0
9196,「初心忘るべからず」という言葉を残した、父の観阿弥とともに能を大成させた人物は誰でしょう？,世阿弥,ぜあみ,0
9197,「将棋倒しの理論」と呼ばれることもある、冷戦時代にアメリカが外交政策決定の根拠のひとつとした、「ある一国が共産主義化すると、その動きが隣接国に及んでいく」という考え方のことを、ある遊戯の名前を使って何理論というでしょう？,ドミノ理論,ドミノ,0
9198,「人生は近くで見ると悲劇だが、遠くから見れば喜劇」という言葉を残した、喜劇王と称されたコメディアンは誰でしょう？,チャールズ・チャップリン,チャップリン,0
9199,「筑波」「丹沢」「銀寄」などの品種がある、茨城県が日本一の収穫量を誇る秋の食べ物は何でしょう？,栗,くり,0
9200,「長編小説には死体が絶対に必要である」「事件の結末を事故死や自殺で片付けてはいけない」など20項目からなる、推理小説が守るべきものとしてアメリカのある作家が発表したルールを、その人物の名をとって「何の二十則」というでしょう？,ヴァン・ダインの二十則,ヴァンダイン,0
9201,「鳩の巣原理」とも呼ばれる組合せ論の原理や、算術級数定理に名を残す、現代的な形式の関数定義を与えたドイツの数学者は誰でしょう？,ペーター・グスタフ・ディリクレ,ディリクレ,0
9202,『アンドロマック』や『フェードル』など、ギリシャ神話や古代ローマに題材を取った悲劇を多く残した、コルネイユ、モリエールとともに古典主義の三大劇作家に数えられる17世紀フランスの劇作家は誰でしょう？,ジャン・バティスト・ラシーヌ,ラシーヌ,0
9203,『おぢいさんのランプ』『手袋を買いに』『ごん狐』などの作品で知られる、愛知県生まれの児童文学者は誰でしょう？,新美南吉,にいみなんきち,0
9204,『ラインの黄金』『ワルキューレ』『ジークフリート』『神々の黄昏』の4部からなる、北欧神話をモチーフに作曲されたリヒャルト・ワーグナーの楽劇は何でしょう？,『ニーベルングの指環』,ニーベルングのゆびわ,0
9205,『悪霊の神々』『そして伝説へ…』『エデンの戦士たち』『星空の守り人』『過ぎ去りし時を求めて』といえば、いずれも何というゲームシリーズのサブタイトルでしょう？,『ドラゴンクエスト』,ドラゴンクエスト,0
9206,『江戸いろはかるた』の「や」の読み札にもなっている、安い物を買うと結局損をするという意味のことわざは何でしょう？,安物買いの銭失い,やすものがいのぜにうしない,0
9207,『涅槃経』や『長阿含経』などに見られる、仏教における外道の見解を62種類にまとめたものを何というでしょう？,六十二見,ろくじゅうにけん,0
9208,12～13世紀ごろのイタリアでローマ教皇を支持した都市や貴族のことを、対立する神聖ローマ皇帝を支持した「ギベリン」に対して何と呼んだでしょう？,ゲルフ,ゲルフ,0
9209,1396年のニコポリスの戦いではハンガリー王としてヨーロッパ諸国を率いオスマン帝国と戦うも敗北している、1414年に始まるコンスタンツ公会議の開催を提案したことで知られる神聖ローマ皇帝は誰でしょう？,ジギスムント,ジギスムント,0
9210,13世紀の陳朝時代までに確立されたと考えられ、19世紀末にアルファベットを応用した表記法の「クォック・グー」が広まるまで用いられていた、中国の漢字を基とするベトナム語固有の文字を一般に何というでしょう？,チュノム,チュノム,0
9211,1553年から1564年にかけて大きく5回の合戦があったとされる、上杉謙信と武田信玄が北信濃の支配権を巡って争った一連の戦いのことを、その代表的な戦場の地名から総称して何の戦いというでしょう？,川中島の戦い,かわなかじま,0
9212,15世紀後半にイギリスで起こった薔薇戦争で、ヨーク家と争ったのは何家でしょう？,ランカスター家,ランカスター,0
9213,16世紀末の朝鮮出兵の際に加藤清正が朝鮮半島から持ち帰ったとされることから「清正人参」という別名を持つ野菜を、一般に何というでしょう？,セロリ,セロリ,0
9214,1740年にプロイセン王に即位した、「君主は国家第一のしもべ」という政治訓で知られる、啓蒙専制君主の典型とされる人物は誰でしょう？,フリードリヒ2世,フリードリヒ2,0
9215,1848年に琉球国王に即位するも、その後の琉球処分により日本の華族となった、琉球最後の国王は誰でしょう？,尚泰,しょうたい,0
9216,1851年にパリで行われた公開実験で地球の自転を証明するために使われた振り子を、その実験を行った物理学者の名前から「何の振り子」というでしょう？,フーコーの振り子,フーコー,0
9217,1854年に上院議員のスティーブン・ダグラスの考案によって定められた、1820年のミズーリ協定を廃止して2つの準州を作り、自由州か奴隷州かをその地域の住民が選べるようにするとした法律のことを、2つの準州の名前から何法というでしょう？,カンザス・ネブラスカ法,カンザスネブラスカ,0
9218,1870年にジョン・ジョンストンの尽力により開館した、「The Met」の愛称があり尾形光琳の『八橋図屏風』やゴッホの『糸杉のある麦畑』などの作品を所蔵する、ニューヨークにある美術館はどこでしょう？,メトロポリタン美術館,メトロポリタン,0
9219,1872年にイギリス人のブラックが東京で創刊し、1874年に民撰議院設立建白書の全文掲載をいち早く行ったことなどで知られた日本語の日刊新聞は何でしょう？,日新信事誌,にっしんしんじし,0
